,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
504,Fatehpur,PK,31.18,63.84,66,0,2.71
505,Bourail,NC,-21.57,76.26,74,0,3.83
506,Kontagora,NG,10.4,82.11,43,0,4.94
507,Grand Gaube,MU,-20.01,78.87,83,40,1.12
508,Marsh Harbour,BS,26.54,77.43,98,24,9.19
509,Gondanglegi,ID,-7.75,70.86,93,12,2.59
510,Alihe,CN,50.57,1.56,56,0,4.38
511,Along,IN,28.17,55.38,95,92,1.03
512,Oktyabrskiy,RU,55.61,33.82,69,40,6.71
513,Gamboula,CF,4.12,72.48,79,0,2.71
514,Aitape,PG,-3.15,79.14,99,48,4.61
515,Santiago del Estero,AR,-27.8,61.59,90,100,5.95
516,Belyy Yar,RU,53.6,15.8,100,0,2.24
517,Chivilcoy,AR,-34.9,69.78,48,12,6.62
518,Moorhead,US,46.87,36.37,74,90,13.87
519,Boende,CD,-0.28,75.36,91,0,0.81
520,Flinders,AU,-34.58,56.64,76,90,5.82
521,Barreirinhas,BR,-2.75,78.87,87,68,5.61
522,Fort Nelson,CA,58.81,44.6,48,75,3.36
523,Pozo Colorado,PY,-23.49,79.68,65,12,14.23
524,Tayoltita,MX,24.11,91.11,15,0,2.15
525,Kyabram,AU,-36.31,50.0,68,0,3.6
526,Santa Maria,BR,-29.69,75.2,47,20,8.05
527,Lima,PE,-12.06,74.93,69,40,10.29
528,Sorland,NO,67.67,30.2,92,90,13.87
529,Biskamzha,RU,53.45,5.97,66,0,2.04
530,Blythe,US,33.61,82.45,15,1,3.36
531,Carutapera,BR,-1.2,79.68,90,88,4.38
532,Aasiaat,GL,68.71,12.81,100,76,9.19
533,Tromso,NO,69.65,25.23,63,76,36.91
534,Japura,ID,-0.42,72.57,97,88,1.25
535,Shirokiy,RU,53.87,35.01,73,80,1.01
536,Cidreira,BR,-30.17,69.96,75,92,9.53
537,Karratha,AU,-20.74,75.72,96,24,3.04
538,Baghmara,IN,23.8,60.06,89,0,2.82
539,Candelaria,CO,3.41,87.8,48,75,14.99
540,Qaqortoq,GL,60.72,23.0,45,75,9.17
541,Labuhan,ID,-2.54,73.47,96,32,1.36
542,Kadaya,RU,50.93,-0.61,61,0,5.39
543,Nyrob,RU,60.74,31.71,86,88,10.42
544,Bonoua,CI,5.27,82.4,83,20,6.93
545,Kasangulu,CD,-4.59,84.2,65,75,11.41
546,Xichang,CN,27.88,55.56,30,0,2.71
547,Isfana,KG,39.84,60.8,59,90,4.47
548,Visby,SE,57.64,28.74,92,0,4.7
549,Itaituba,BR,-4.26,89.6,62,20,2.26
550,Ankpa,NG,7.37,83.01,65,20,3.49
551,Bodden Town,KY,19.28,84.69,74,20,9.17
552,Kilindoni,TZ,-7.91,84.63,99,0,7.07
553,Luena,AO,-11.78,65.91,94,12,3.27
554,Taixing,CN,32.17,54.12,75,0,1.01
555,Kamenka,RU,53.19,35.01,92,48,9.64
556,Khandyga,RU,62.65,-7.81,61,12,2.82
557,Fuerte Olimpo,BR,-21.04,91.38,50,68,6.62
558,Maniitsoq,GL,65.42,15.33,68,0,7.96
559,Tutoia,BR,-2.76,86.0,62,20,9.17
560,Cairns,AU,-16.92,74.16,94,90,4.7
561,Rosetta,EG,31.4,62.6,72,40,11.41
562,Bilma,NE,18.69,72.21,14,0,10.31
563,Ayan,TR,40.67,25.32,66,12,2.04
564,Stonewall,CA,50.13,36.79,80,90,19.46
565,Berlevag,NO,70.86,24.64,79,75,12.75
566,Namatanai,PG,-3.66,81.57,100,56,11.65
567,Boyolangu,ID,-8.09,70.86,93,12,2.59
568,Emerald,AU,-23.53,72.1,83,75,10.29
569,Batemans Bay,AU,-35.71,41.16,87,0,4.0
570,Urucara,BR,-2.54,87.96,65,24,2.59
